Địa phương,2018,2019,2020
Hà Nội,"0,787","0,79","0,783"
Vĩnh Phúc,"0,653","0,675","0,678"
Bắc Ninh,"0,668","0,673","0,683"
Quảng Ninh,"0,683","0,696","0,681"
Hải Dương,"0,672","0,676","0,688"
Hải Phòng,"0,729","0,729","0,732"
Hưng Yên,"0,674","0,683","0,692"
Thái Bình,"0,65","0,666","0,67"
Hà Nam,"0,642","0,666","0,666"
Nam Định,"0,639","0,646","0,639"
Ninh Bình,"0,657","0,671","0,675"
Hà Giang,"0,462","0,482","0,5"
Cao Bằng,"0,558","0,571","0,581"
Bắc Kạn,"0,598","0,603","0,599"
Tuyên Quang,"0,614","0,611","0,613"
Lào Cai,"0,531","0,549","0,551"
Điện Biên,"0,497","0,492","0,512"
Lai Châu,"0,441","0,456","0,45"
Sơn La,"0,501","0,517","0,529"
Yên Bái,"0,576","0,575","0,594"
Hoà Bình,"0,618","0,628","0,63"
Thái Nguyên,"0,703","0,701","0,677"
Lạng Sơn,"0,626","0,614","0,616"
Bắc Giang,"0,629","0,641","0,65"
Phú Thọ,"0,654","0,658","0,659"
Thanh Hóa,"0,634","0,636","0,642"
Nghệ An,"0,665","0,662","0,669"
Hà Tĩnh,"0,664","0,671","0,668"
Quảng Bình,"0,639","0,645","0,652"
Quảng Trị,"0,621","0,62","0,626"
Thừa Thiên - Huế,"0,607","0,65","0,632"
Đà Nẵng,"0,745","0,775","0,763"
Quảng Nam,"0,624","0,629","0,635"
Quảng Ngãi,"0,602","0,608","0,609"
Bình Định,"0,605","0,617","0,632"
Phú Yên,"0,582","0,596","0,603"
Khánh Hòa,"0,625","0,636","0,636"
Ninh Thuận,"0,514","0,53","0,516"
Bình Thuận,"0,529","0,56","0,561"
Kon Tum,"0,536","0,563","0,578"
Gia Lai,"0,514","0,521","0,517"
Đắk Lắk,"0,554","0,593","0,557"
Đắk Nông,"0,561","0,566","0,586"
Lâm Đồng,"0,598","0,613","0,622"
Bình Phước,"0,544","0,562","0,568"
Tây Ninh,"0,529","0,547","0,546"
Bình Dương,"0,582","0,604","0,592"
Đồng Nai,"0,629","0,637","0,645"
Bà Rịa - Vũng Tàu,"0,624","0,653","0,649"
TP. Hồ Chí Minh,"0,718","0,737","0,73"
Long An,"0,569","0,572","0,577"
Tiền Giang,"0,555","0,559","0,554"
Bến Tre,"0,542","0,554","0,557"
Trà Vinh,"0,522","0,538","0,536"
Vĩnh Long,"0,595","0,604","0,606"
Đồng Tháp,"0,521","0,543","0,546"
An Giang,"0,516","0,522","0,531"
Kiên Giang,"0,512","0,521","0,517"
Cần Thơ,"0,599","0,64","0,627"
Hậu Giang,"0,528","0,538","0,553"
Sóc Trăng,"0,511","0,503","0,515"
Bạc Liêu,"0,51","0,52","0,52"
Cà Mau,"0,535","0,535","0,542"